tf_bnum	tf_symbol	gene_bnum	gene_symbol	valid_tf	valid_gene
b2731	fhlA	b4661	yfcU_2	TRUE	FALSE
b2782	mazF	b4661	yfcU_2	TRUE	FALSE
b2783	mazE	b4661	yfcU_2	TRUE	FALSE
b2805	fucR	b4661	yfcU_2	TRUE	FALSE
b2808	gcvA	b4661	yfcU_2	TRUE	FALSE
b2837	galR	b4661	yfcU_2	TRUE	FALSE
b2839	lysR	b4661	yfcU_2	TRUE	FALSE
b2916	argP	b4661	yfcU_2	TRUE	FALSE
b2980	glcC	b4661	yfcU_2	TRUE	FALSE
b3010	yqhC	b4661	yfcU_2	TRUE	FALSE
b3021	ygiT	b4661	yfcU_2	TRUE	FALSE
b3025	qseB	b4661	yfcU_2	TRUE	FALSE
b3075	ebgR	b4661	yfcU_2	TRUE	FALSE
b3094	exuR	b4661	yfcU_2	TRUE	FALSE
b3105	yhaJ	b4661	yfcU_2	TRUE	FALSE
b3118	tdcA	b4661	yfcU_2	TRUE	FALSE
b3119	tdcR	b4661	yfcU_2	TRUE	FALSE
b3131	agaR	b4661	yfcU_2	TRUE	FALSE
b3226	nanR	b4661	yfcU_2	TRUE	FALSE
b3237	argR	b4661	yfcU_2	TRUE	FALSE
b3261	fis	b4661	yfcU_2	TRUE	FALSE
b3264	envR	b4661	yfcU_2	TRUE	FALSE
b3292	zntR	b4661	yfcU_2	TRUE	FALSE
b3357	crp	b4661	yfcU_2	TRUE	FALSE
b3405	ompR	b4661	yfcU_2	TRUE	FALSE
b3418	malT	b4661	yfcU_2	TRUE	FALSE
b3422	rtcR	b4661	yfcU_2	TRUE	FALSE
b3423	glpR	b4661	yfcU_2	TRUE	FALSE
b3438	gntR	b4661	yfcU_2	TRUE	FALSE
b3481	nikR	b4661	yfcU_2	TRUE	FALSE
b3501	arsR	b4661	yfcU_2	TRUE	FALSE
b3512	gadE	b4661	yfcU_2	TRUE	FALSE
b3515	gadW	b4661	yfcU_2	TRUE	FALSE
b3516	gadX	b4661	yfcU_2	TRUE	FALSE
b3556	cspA	b4661	yfcU_2	TRUE	FALSE
b3569	xylR	b4661	yfcU_2	TRUE	FALSE
b3574	yiaJ	b4661	yfcU_2	TRUE	FALSE
b3604	lldR	b4661	yfcU_2	TRUE	FALSE
b3669	uhpA	b4661	yfcU_2	TRUE	FALSE
b3702	dnaA	b4661	yfcU_2	TRUE	FALSE
b3743	asnC	b4661	yfcU_2	TRUE	FALSE
b3753	rbsR	b4661	yfcU_2	TRUE	FALSE
b3773	ilvY	b4661	yfcU_2	TRUE	FALSE
b3828	metR	b4661	yfcU_2	TRUE	FALSE
b3868	glnG	b4661	yfcU_2	TRUE	FALSE
b3905	rhaS	b4661	yfcU_2	TRUE	FALSE
b3906	rhaR	b4661	yfcU_2	TRUE	FALSE
b3912	cpxR	b4661	yfcU_2	TRUE	FALSE
b3934	cytR	b4661	yfcU_2	TRUE	FALSE
b3938	metJ	b4661	yfcU_2	TRUE	FALSE
b3961	oxyR	b4661	yfcU_2	TRUE	FALSE
b3963	fabR	b4661	yfcU_2	TRUE	FALSE
b3973	birA	b4661	yfcU_2	TRUE	FALSE
b4000	hupA	b4661	yfcU_2	TRUE	FALSE
b4004	zraR	b4661	yfcU_2	TRUE	FALSE
b4018	iclR	b4661	yfcU_2	TRUE	FALSE
b4043	lexA	b4661	yfcU_2	TRUE	FALSE
b4046	zur	b4661	yfcU_2	TRUE	FALSE
b4062	soxS	b4661	yfcU_2	TRUE	FALSE
b4063	soxR	b4661	yfcU_2	TRUE	FALSE
b4089	rpiR	b4661	yfcU_2	TRUE	FALSE
b4113	basR	b4661	yfcU_2	TRUE	FALSE
b4116	adiY	b4661	yfcU_2	TRUE	FALSE
b4118	melR	b4661	yfcU_2	TRUE	FALSE
b4124	dcuR	b4661	yfcU_2	TRUE	FALSE
b4133	cadC	b4661	yfcU_2	TRUE	FALSE
b4178	nsrR	b4661	yfcU_2	TRUE	FALSE
b4187	aidB	b4661	yfcU_2	TRUE	FALSE
b4191	ulaR	b4661	yfcU_2	TRUE	FALSE
b4241	treR	b4661	yfcU_2	TRUE	FALSE
b4260	pepA	b4661	yfcU_2	TRUE	FALSE
b4264	idnR	b4661	yfcU_2	TRUE	FALSE
b4324	uxuR	b4661	yfcU_2	TRUE	FALSE
b4327	yjiE	b4661	yfcU_2	TRUE	FALSE
b4365	yjjQ	b4661	yfcU_2	TRUE	FALSE
b4366	bglJ	b4661	yfcU_2	TRUE	FALSE
b4390	nadR	b4661	yfcU_2	TRUE	FALSE
b4393	trpR	b4661	yfcU_2	TRUE	FALSE
b4396	rob	b4661	yfcU_2	TRUE	FALSE
b4398	creB	b4661	yfcU_2	TRUE	FALSE
b4401	arcA	b4661	yfcU_2	TRUE	FALSE
b4480	hdfR	b4661	yfcU_2	TRUE	FALSE
b0020	nhaR	b4693	ymfN	TRUE	FALSE
b0034	caiF	b4693	ymfN	TRUE	FALSE
b0064	araC	b4693	ymfN	TRUE	FALSE
b0069	sgrR	b4693	ymfN	TRUE	FALSE
b0076	leuO	b4693	ymfN	TRUE	FALSE
b0080	fruR	b4693	ymfN	TRUE	FALSE
b0113	pdhR	b4693	ymfN	TRUE	FALSE
b0162	cdaR	b4693	ymfN	TRUE	FALSE
b0225	yafQ	b4693	ymfN	TRUE	FALSE
b0226	dinJ	b4693	ymfN	TRUE	FALSE
b0294	matA	b4693	ymfN	TRUE	FALSE
b0305	ykgD	b4693	ymfN	TRUE	FALSE
b0313	betI	b4693	ymfN	TRUE	FALSE
b0330	prpR	b4693	ymfN	TRUE	FALSE
b0338	cynR	b4693	ymfN	TRUE	FALSE
b0345	lacI	b4693	ymfN	TRUE	FALSE
b0346	mhpR	b4693	ymfN	TRUE	FALSE
b0399	phoB	b4693	ymfN	TRUE	FALSE
b0413	nrdR	b4693	ymfN	TRUE	FALSE
b0435	bolA	b4693	ymfN	TRUE	FALSE
b0440	hupB	b4693	ymfN	TRUE	FALSE
b0464	acrR	b4693	ymfN	TRUE	FALSE
b0487	cueR	b4693	ymfN	TRUE	FALSE
b0506	allR	b4693	ymfN	TRUE	FALSE
b0564	appY	b4693	ymfN	TRUE	FALSE
b0566	envY	b4693	ymfN	TRUE	FALSE
b0571	cusR	b4693	ymfN	TRUE	FALSE
b0620	citB	b4693	ymfN	TRUE	FALSE
b0676	nagC	b4693	ymfN	TRUE	FALSE
b0683	fur	b4693	ymfN	TRUE	FALSE
b0694	kdpE	b4693	ymfN	TRUE	FALSE
b0730	mngR	b4693	ymfN	TRUE	FALSE
b0761	modE	b4693	ymfN	TRUE	FALSE
b0817	mntR	b4693	ymfN	TRUE	FALSE
b0840	deoR	b4693	ymfN	TRUE	FALSE
b0846	ybjK	b4693	ymfN	TRUE	FALSE
b0889	lrp	b4693	ymfN	TRUE	FALSE
b0912	ihfB	b4693	ymfN	TRUE	FALSE
b0995	torR	b4693	ymfN	TRUE	FALSE
b1013	rutR	b4693	ymfN	TRUE	FALSE
b1014	putA	b4693	ymfN	TRUE	FALSE
